raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000006758424998525,90798325,2.000000,283595,0.000000,2,-0.057015,0.088120,0.994477,0.000000,0.000000,0.000000,0.129341,0.087111,-0.240162,0.087027,-0.053972,0.088135,0.994645,-0.030687,0.000000,0.000000,0.144211,2,0.097773,0.087111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1.334458,0.000017
1000006758435017973,100817773,2.000000,283596,0.000000,2,-0.036362,0.064850,0.997232,0.000000,0.000000,0.000000,0.152949,0.063942,-0.216510,0.063878,-0.028821,0.074963,0.996770,-0.030687,0.000000,0.000000,0.141087,2,0.126565,0.073943,-0.043902,0.054719,0.997536,0.030687,0.000000,0.000000,0.112680,2,-0.190287,0.053886
1000006758445037659,110837459,2.000000,283597,0.000000,2,-0.036162,0.069885,0.996899,0.000000,0.000000,0.000000,0.153175,0.068927,-0.216308,0.068859,-0.027094,0.081675,0.996291,-0.030687,0.000000,0.000000,0.141280,2,0.128520,0.080599,-0.045230,0.058067,0.997288,0.030687,0.000000,0.000000,0.112986,2,-0.191803,0.057196
1000006758455057257,120857057,2.000000,283598,0.000000,2,-0.038779,0.087032,0.995450,0.000000,0.000000,0.000000,0.150179,0.085954,-0.219385,0.085871,-0.023218,0.080293,0.996501,-0.030687,0.000000,0.000000,0.141802,2,0.132945,0.079219,-0.054293,0.093731,0.994116,0.030687,0.000000,0.000000,0.129868,2,-0.202254,0.092599
1000006758465076760,130876560,2.000000,283599,0.000000,2,-0.039726,0.094740,0.994709,0.000000,0.000000,0.000000,0.149091,0.093632,-0.220516,0.093542,-0.022773,0.083430,0.996253,-0.030687,0.000000,0.000000,0.142209,2,0.133445,0.082333,-0.056603,0.105970,0.992757,0.030687,0.000000,0.000000,0.129966,2,-0.204964,0.104828
1000006758475096237,140896037,2.000000,283600,0.000000,2,-0.041292,0.092727,0.994835,0.000000,0.000000,0.000000,0.147304,0.091631,-0.222284,0.091543,-0.024514,0.080893,0.996421,-0.030687,0.000000,0.000000,0.142087,2,0.131465,0.079817,-0.057993,0.104478,0.992835,0.030687,0.000000,0.000000,0.129912,2,-0.206539,0.103345
1000006758485115694,150915494,2.000000,283601,0.000000,2,-0.040383,0.090013,0.995122,0.000000,0.000000,0.000000,0.148346,0.088925,-0.221229,0.088840,-0.023895,0.076469,0.996786,-0.030687,0.000000,0.000000,0.142111,2,0.132180,0.075427,-0.056790,0.103464,0.993011,0.030687,0.000000,0.000000,0.129554,2,-0.205160,0.102324
1000006758495135651,160935451,2.000000,283602,0.000000,2,-0.039849,0.089365,0.995202,0.000000,0.000000,0.000000,0.148956,0.088278,-0.220617,0.088193,-0.021888,0.073245,0.997074,-0.030687,0.000000,0.000000,0.141942,2,0.134475,0.072228,-0.057709,0.105362,0.992758,0.030687,0.000000,0.000000,0.129191,2,-0.206221,0.104226
1000006758505155308,170955108,2.000000,283603,0.000000,2,-0.041443,0.086122,0.995422,0.000000,0.000000,0.000000,0.147139,0.085058,-0.222408,0.084976,-0.024669,0.069002,0.997311,-0.030687,0.000000,0.000000,0.141587,2,0.131312,0.068029,-0.058120,0.103118,0.992970,0.030687,0.000000,0.000000,0.128692,2,-0.206675,0.101986
1000006758515174951,180974751,2.000000,283604,0.000000,2,-0.041154,0.084593,0.995565,0.000000,0.000000,0.000000,0.147470,0.083536,-0.222069,0.083455,-0.022356,0.068090,0.997429,-0.030687,0.000000,0.000000,0.142089,2,0.133950,0.067123,-0.059846,0.100971,0.993088,0.030687,0.000000,0.000000,0.128371,2,-0.208629,0.099851
1000006758525194484,190994284,2.000000,283605,0.000000,2,-0.041658,0.083065,0.995673,0.000000,0.000000,0.000000,0.146897,0.082020,-0.222632,0.081940,-0.024002,0.067280,0.997445,-0.030687,0.000000,0.000000,0.142178,2,0.132076,0.066324,-0.059218,0.098738,0.993350,0.030687,0.000000,0.000000,0.128056,2,-0.207899,0.097619
1000006758535213820,201013620,2.000000,283606,0.000000,2,-0.043196,0.081465,0.995740,0.000000,0.000000,0.000000,0.145143,0.080435,-0.224370,0.080357,-0.025130,0.066899,0.997443,-0.030687,0.000000,0.000000,0.142493,2,0.130791,0.065948,-0.061167,0.095930,0.993507,0.030687,0.000000,0.000000,0.127829,2,-0.210103,0.094828
1000006758545233548,211033348,2.000000,283607,0.000000,2,-0.042651,0.083245,0.995616,0.000000,0.000000,0.000000,0.145763,0.082201,-0.223762,0.082122,-0.022999,0.068697,0.997372,-0.030687,0.000000,0.000000,0.142940,2,0.133216,0.067725,-0.062196,0.097682,0.993272,0.030687,0.000000,0.000000,0.127794,2,-0.211288,0.096582
1000006758555252872,221052672,2.000000,283608,0.000000,2,-0.042365,0.082373,0.995701,0.000000,0.000000,0.000000,0.146090,0.081334,-0.223431,0.081255,-0.023858,0.069169,0.997320,-0.030687,0.000000,0.000000,0.143210,2,0.132237,0.068193,-0.060781,0.095485,0.993573,0.030687,0.000000,0.000000,0.127618,2,-0.209660,0.094382
1000006758565272595,231072395,2.000000,283609,0.000000,2,-0.041969,0.082012,0.995747,0.000000,0.000000,0.000000,0.146543,0.080974,-0.222979,0.080895,-0.023887,0.069153,0.997320,-0.030687,0.000000,0.000000,0.143394,2,0.132204,0.068177,-0.059965,0.094783,0.993690,0.030687,0.000000,0.000000,0.127577,2,-0.208724,0.093678
1000006758575292267,241092067,2.000000,283610,0.000000,2,-0.041776,0.080087,0.995912,0.000000,0.000000,0.000000,0.146765,0.079061,-0.222746,0.078984,-0.024612,0.068826,0.997325,-0.030687,0.000000,0.000000,0.143603,2,0.131377,0.067855,-0.058866,0.091277,0.994084,0.030687,0.000000,0.000000,0.127186,2,-0.207450,0.090178
1000006758585312081,251111881,2.000000,283611,0.000000,2,-0.041918,0.079880,0.995923,0.000000,0.000000,0.000000,0.146603,0.078856,-0.222907,0.078779,-0.025289,0.069008,0.997295,-0.030687,0.000000,0.000000,0.143937,2,0.130606,0.068036,-0.058479,0.090685,0.994161,0.030687,0.000000,0.000000,0.127107,2,-0.207006,0.089588
1000006758595331627,261131427,2.000000,283612,0.000000,2,-0.042123,0.078675,0.996010,0.000000,0.000000,0.000000,0.146371,0.077661,-0.223131,0.077585,-0.026217,0.067151,0.997398,-0.030687,0.000000,0.000000,0.143830,2,0.129552,0.066199,-0.057962,0.090133,0.994242,0.030687,0.000000,0.000000,0.127128,2,-0.206413,0.089035
1000006758605351070,271150870,2.000000,283613,0.000000,2,-0.043428,0.073582,0.996343,0.000000,0.000000,0.000000,0.144886,0.072611,-0.224584,0.072540,-0.029802,0.057986,0.997872,-0.030687,0.000000,0.000000,0.141657,2,0.125484,0.057141,-0.056989,0.089092,0.994392,0.030687,0.000000,0.000000,0.127054,2,-0.205298,0.087994
1000006758615370408,281170208,2.000000,283614,0.000000,2,-0.043676,0.071331,0.996496,0.000000,0.000000,0.000000,0.144606,0.070380,-0.224853,0.070310,-0.030927,0.054768,0.998020,-0.030687,0.000000,0.000000,0.140891,2,0.124208,0.053964,-0.056362,0.087804,0.994542,0.030687,0.000000,0.000000,0.126977,2,-0.204578,0.086710
1000006758625390223,291190023,2.000000,283615,0.374193,2,-0.043516,0.069650,0.996622,0.000000,0.000000,0.000000,0.144790,0.068714,-0.224661,0.068646,-0.030790,0.052145,0.998165,-0.030687,0.000000,0.000000,0.140370,2,0.124369,0.051374,-0.056177,0.087061,0.994618,0.030687,0.000000,0.000000,0.126856,2,-0.204363,0.085969
1000006758635409600,301209400,2.000000,283616,0.389961,2,-0.039878,0.071205,0.996664,0.000000,0.000000,0.000000,0.148937,0.070245,-0.220536,0.070175,-0.024063,0.056413,0.998118,-0.030687,0.000000,0.000000,0.144953,2,0.132024,0.055579,-0.055621,0.085914,0.994749,0.030687,0.000000,0.000000,0.126792,2,-0.203724,0.084826
1000006758645429401,311229201,2.000000,283617,0.631495,2,-0.039381,0.071527,0.996661,0.000000,0.000000,0.000000,0.149504,0.070562,-0.219974,0.070493,-0.023358,0.057780,0.998056,-0.030687,0.000000,0.000000,0.144953,2,0.132825,0.056928,-0.055335,0.085198,0.994826,0.030687,0.000000,0.000000,0.126848,2,-0.203394,0.084113
1000006758655448894,321248694,2.000000,283618,0.743252,2,-0.039221,0.071572,0.996664,0.000000,0.000000,0.000000,0.149686,0.070606,-0.219792,0.070537,-0.023428,0.058422,0.998017,-0.030687,0.000000,0.000000,0.145014,2,0.132744,0.057563,-0.054948,0.084650,0.994895,0.030687,0.000000,0.000000,0.126898,2,-0.202950,0.083567
1000006758665468337,331268137,2.000000,283619,0.771356,2,-0.039074,0.072240,0.996622,0.000000,0.000000,0.000000,0.149854,0.071268,-0.219628,0.071197,-0.023580,0.060174,0.997909,-0.030687,0.000000,0.000000,0.145063,2,0.132569,0.059294,-0.054507,0.084242,0.994953,0.030687,0.000000,0.000000,0.127068,2,-0.202447,0.083159
1000006758675487718,341287518,2.000000,283620,0.810965,2,-0.039096,0.071903,0.996645,0.000000,0.000000,0.000000,0.149828,0.070934,-0.219652,0.070865,-0.023937,0.059817,0.997922,-0.030687,0.000000,0.000000,0.144992,2,0.132163,0.058942,-0.054197,0.083927,0.994997,0.030687,0.000000,0.000000,0.127216,2,-0.202092,0.082845
1000006758685507448,351307248,2.000000,283621,0.818751,2,-0.038861,0.071672,0.996671,0.000000,0.000000,0.000000,0.150096,0.070704,-0.219384,0.070635,-0.023714,0.059742,0.997932,-0.030687,0.000000,0.000000,0.144951,2,0.132417,0.058868,-0.053951,0.083540,0.995043,0.030687,0.000000,0.000000,0.127444,2,-0.201811,0.082459
1000006758695527145,361326945,2.000000,283622,0.865412,2,-0.039086,0.071908,0.996645,0.000000,0.000000,0.000000,0.149841,0.070939,-0.219640,0.070869,-0.023770,0.060416,0.997890,-0.030687,0.000000,0.000000,0.144991,2,0.132351,0.059534,-0.054343,0.083340,0.995038,0.030687,0.000000,0.000000,0.127617,2,-0.202255,0.082262
1000006758705546739,371346539,2.000000,283623,0.884967,2,-0.039076,0.071971,0.996641,0.000000,0.000000,0.000000,0.149852,0.071001,-0.219629,0.070931,-0.023754,0.060302,0.997897,-0.030687,0.000000,0.000000,0.145001,2,0.132370,0.059421,-0.054339,0.083579,0.995019,0.030687,0.000000,0.000000,0.127766,2,-0.202252,0.082499
1000006758715566262,381366062,2.000000,283624,0.897502,2,-0.038630,0.071494,0.996693,0.000000,0.000000,0.000000,0.150361,0.070528,-0.219120,0.070458,-0.023137,0.059209,0.997977,-0.030687,0.000000,0.000000,0.145075,2,0.133074,0.058340,-0.054061,0.083715,0.995022,0.030687,0.000000,0.000000,0.127920,2,-0.201937,0.082634
1000006758725585714,391385514,2.000000,283625,0.919361,2,-0.038946,0.070922,0.996721,0.000000,0.000000,0.000000,0.150001,0.069962,-0.219476,0.069893,-0.023711,0.058441,0.998009,-0.030687,0.000000,0.000000,0.145179,2,0.132421,0.057582,-0.054120,0.083339,0.995051,0.030687,0.000000,0.000000,0.128036,2,-0.202002,0.082260
1000006758735605058,401404858,2.000000,283626,0.933805,2,-0.039645,0.071355,0.996663,0.000000,0.000000,0.000000,0.149203,0.070392,-0.220272,0.070323,-0.025289,0.059562,0.997904,-0.030687,0.000000,0.000000,0.146247,2,0.130623,0.058692,-0.053948,0.083089,0.995081,0.030687,0.000000,0.000000,0.128171,2,-0.201805,0.082011
1000006758745624426,411424226,2.000000,283627,0.932282,2,-0.039447,0.070422,0.996737,0.000000,0.000000,0.000000,0.149429,0.069467,-0.220043,0.069398,-0.024957,0.058487,0.997976,-0.030687,0.000000,0.000000,0.146446,2,0.131002,0.057629,-0.053883,0.082298,0.995150,0.030687,0.000000,0.000000,0.128257,2,-0.201727,0.081224
