crt_50_50,crt_55_45,crt_60_40
6.885293,16.53602,14.843876
6.53415,9.859334,14.930293
8.220799,14.936699,8.943976
13.913073,9.223069,10.237752
11.960193,9.233482,12.267125
14.221482,14.708478,9.496735
6.597192,15.24216,12.867577
9.864261,10.264207,13.866402
7.619329,8.73013,10.160748
13.938165,9.935159,14.852734
10.091159,9.197537,13.248181
7.964763,15.799766,8.908941
8.681363,9.035559,9.448702
7.659284,16.695912,0.0
0.0,14.787025,15.283126
14.555919,9.646558,14.901175
14.994224,11.874022,15.990469
6.772204,17.301691,6.164738
13.719585,15.560321,12.067157
15.072012,9.782466,15.780341
7.436636,10.206068,4.999015
6.634018,15.18717,7.899036
12.447245,16.139683,12.941782
13.144321,15.878976,15.628224
13.707495,9.931292,15.404169
6.711002,10.579843,14.93996
10.511517,9.106439,8.635114
7.613948,17.58409,12.816714
14.21613,16.880258,16.151779
15.035633,16.969602,14.858817
10.367452,10.876075,9.018114
12.589024,15.303156,14.325976
14.850418,17.106358,14.900256
0.0,14.894209,13.720004
13.002311,16.997466,15.639689
7.368568,13.15131,8.243697
14.226405,15.772373,8.514374
10.332204,9.365457,15.414126
15.270161,17.535186,15.832358
15.580653,17.865297,11.310253
14.599664,9.905084,10.668963
11.55846,9.010552,16.962266
0.0,18.370179,14.895235
15.495028,17.433782,15.776647
11.60417,9.334662,15.989724
6.416527,16.053994,15.83873
11.845896,17.259411,15.661611
12.321673,17.909038,15.414269
6.792566,17.848805,0.0
15.181175,17.107257,14.863836
6.929233,17.707251,11.896555
15.319109,17.284364,15.813397
15.182893,14.70361,15.93528
14.943919,17.56622,8.923074
15.163027,17.871671,15.852214
6.425925,17.311448,13.805435
7.404363,16.406514,11.38617
14.984051,9.151632,5.028852
15.323283,14.254413,15.92425
14.531059,17.609416,15.750536
15.123677,17.435061,15.156862
12.538954,17.79497,15.520425
14.420493,17.563957,13.013959
14.939604,15.468085,9.627073
11.591484,16.915258,13.622981
11.232003,15.043308,12.660483
14.943171,17.570483,15.297185
10.498985,17.535981,15.483813
6.193493,16.217334,13.472984
14.904489,17.673478,4.252494
6.536993,17.079999,14.735092
6.18986,16.924696,16.061611
6.006,17.556494,5.399504
6.551371,17.50549,10.137568
6.336359,11.280182,12.108686
6.581492,17.243485,15.456374
6.312993,15.861489,7.971506
6.748495,15.957554,15.854487
6.715125,16.604988,14.799487
12.692493,16.96925,14.572487
6.206558,16.871845,15.62884
14.862263,17.038454,13.645813
12.63768,16.998831,9.772749
8.738069,14.822455,15.834619
15.163996,15.730886,15.249032
15.230054,17.719948,15.240588
13.928765,17.418406,10.787293
14.561112,16.581689,16.223041
15.000437,17.825978,13.496619
14.821391,17.569206,11.234207
10.139022,16.999526,15.394289
13.297206,18.15264,16.886285
11.233749,10.705208,9.473036
7.709805,17.78723,15.213981
12.088282,17.550322,6.938668
13.37818,,15.734437
