Condition 1,Condition 2,Condition 3
4,6.0,4.0
4,4.0,8.0
4,2.0,4.0
6,4.0,4.0
6,4.0,4.0
6,10.0,4.0
4,4.0,6.0
4,4.0,4.0
4,4.0,4.0
6,4.0,8.0
4,4.0,6.0
4,2.0,4.0
4,4.0,4.0
4,6.0,8.0
6,4.0,6.0
4,4.0,2.0
4,8.0,6.0
6,10.0,8.0
4,4.0,6.0
4,4.0,2.0
2,10.0,6.0
6,4.0,8.0
8,6.0,6.0
4,4.0,6.0
6,4.0,4.0
4,4.0,6.0
6,6.0,8.0
2,6.0,6.0
8,6.0,4.0
4,4.0,6.0
8,6.0,4.0
2,8.0,10.0
6,4.0,6.0
4,8.0,4.0
6,8.0,4.0
6,4.0,8.0
8,10.0,8.0
8,8.0,6.0
6,4.0,4.0
6,4.0,2.0
2,10.0,4.0
8,14.0,4.0
8,4.0,6.0
4,6.0,14.0
6,10.0,8.0
6,8.0,4.0
4,2.0,6.0
6,8.0,4.0
4,12.0,4.0
8,12.0,2.0
4,6.0,2.0
2,2.0,4.0
6,10.0,4.0
4,8.0,4.0
4,4.0,4.0
6,8.0,8.0
6,8.0,4.0
6,6.0,4.0
6,2.0,8.0
6,8.0,6.0
6,4.0,8.0
4,6.0,6.0
6,10.0,8.0
6,8.0,4.0
6,8.0,8.0
6,6.0,4.0
4,2.0,4.0
6,4.0,6.0
4,6.0,6.0
4,6.0,4.0
4,6.0,8.0
4,4.0,4.0
4,8.0,6.0
4,4.0,2.0
4,4.0,8.0
4,8.0,6.0
6,6.0,8.0
4,10.0,4.0
6,6.0,8.0
6,6.0,4.0
2,8.0,4.0
8,8.0,4.0
4,6.0,8.0
6,10.0,4.0
8,8.0,4.0
2,6.0,4.0
8,8.0,4.0
4,6.0,10.0
6,14.0,4.0
2,4.0,6.0
4,6.0,8.0
6,12.0,6.0
8,8.0,6.0
2,4.0,10.0
4,4.0,4.0
4,8.0,4.0
2,8.0,6.0
4,4.0,6.0
4,4.0,4.0
2,4.0,8.0
6,8.0,
4,4.0,
4,4.0,
2,4.0,
4,10.0,
4,4.0,
4,4.0,
4,,
