crt_index_50_50,crt_index_55_45,crt_index_60_40
329,1085.0,1241.0
289,480.0,1227.0
389,935.0,662.0
909,432.0,795.0
754,436.0,974.0
965,910.0,728.0
305,958.0,1026.0
592,515.0,1102.0
395,372.0,802.0
945,486.0,1277.0
582,433.0,1209.0
427,888.0,652.0
487,410.0,723.0
388,1078.0,1414.0
984,895.0,1200.0
301,464.0,997.0
893,1295.0,429.0
1144,1323.0,998.0
351,469.0,1163.0
296,485.0,1268.0
784,973.0,690.0
805,1042.0,1098.0
904,1001.0,1446.0
309,496.0,1513.0
352,549.0,1280.0
354,412.0,631.0
895,1123.0,1062.0
761,1304.0,1445.0
633,1204.0,1254.0
378,563.0,680.0
1017,970.0,1403.0
104,1307.0,817.0
839,915.0,1097.0
360,780.0,1302.0
872,1002.0,624.0
612,438.0,650.0
1051,1418.0,1119.0
1148,1201.0,1494.0
983,502.0,873.0
733,411.0,824.0
128,1270.0,850.0
1145,1168.0,847.0
730,445.0,1065.0
287,1022.0,1392.0
757,1266.0,1391.0
791,1329.0,1416.0
316,1281.0,1330.0
1080,1120.0,1253.0
328,1317.0,838.0
1090,1192.0,951.0
960,903.0,756.0
1142,1171.0,779.0
858,1316.0,813.0
284,1069.0,755.0
343,428.0,885.0
1096,1396.0,1041.0
1192,1279.0,976.0
1041,1295.0,685.0
1082,1102.0,850.0
807,1132.0,1323.0
1036,863.0,1093.0
1141,1118.0,1514.0
686,988.0,1363.0
683,767.0,309.0
783,1288.0,1480.0
621,1299.0,814.0
269,1284.0,821.0
1184,395.0,1032.0
265,1388.0,1357.0
235,1098.0,1487.0
296,1330.0,1397.0
279,594.0,699.0
304,1223.0,1381.0
283,959.0,587.0
317,835.0,784.0
311,1102.0,781.0
810,1195.0,1348.0
269,1105.0,1298.0
1083,1124.0,1392.0
825,1123.0,1236.0
474,1318.0,907.0
1113,1005.0,769.0
1172,1286.0,1386.0
881,1237.0,1408.0
887,1332.0,1164.0
1118,1037.0,491.0
1084,1291.0,1159.0
403,1091.0,1142.0
800,1399.0,538.0
679,509.0,1313.0
401,1280.0,671.0
750,1187.0,1110.0
875,1274.0,1530.0
115,1049.0,1393.0
251,345.0,879.0
232,1407.0,1410.0
129,1287.0,710.0
640,388.0,589.0
263,333.0,658.0
672,405.0,1178.0
533,1011.0,866.0
267,413.0,1343.0
242,443.0,
128,464.0,
247,1240.0,
280,395.0,
466,464.0,
1185,,
