crt_index_50_50,crt_index_45_55_right,crt_index_55_45_left,crt_index_40_60_right,crt_index_60_40_left
602,1472.0,867.0,1324.0,1345.0
571,820.0,1317.0,768.0,897.0
669,824.0,1291.0,826.0,1077.0
1190,905.0,1341.0,1129.0,1196.0
1035,749.0,869.0,1380.0,904.0
1242,1272.0,820.0,1307.0,754.0
587,789.0,1458.0,0.0,821.0
869,846.0,1281.0,1509.0,1300.0
681,1671.0,1679.0,529.0,1097.0
1226,859.0,1703.0,1094.0,1264.0
853,863.0,1358.0,788.0,1368.0
715,1376.0,1430.0,1199.0,1549.0
765,867.0,930.0,1382.0,1613.0
672,791.0,1567.0,730.0,1153.0
1260,1507.0,1688.0,1354.0,1545.0
586,947.0,1591.0,781.0,1499.0
1170,1357.0,1686.0,1197.0,916.0
1422,1643.0,1303.0,1406.0,723.0
632,1159.0,1383.0,1222.0,752.0
572,1792.0,809.0,1595.0,974.0
1067,1584.0,887.0,950.0,920.0
1088,1646.0,788.0,947.0,1168.0
1190,1543.0,827.0,1491.0,1494.0
589,1653.0,1408.0,1520.0,1429.0
631,1711.0,1654.0,1355.0,0.0
630,1709.0,1494.0,941.0,1051.0
1179,1569.0,1286.0,881.0,857.0
1042,1711.0,1554.0,914.0,1449.0
919,1710.0,1450.0,1415.0,857.0
659,1786.0,808.0,985.0,1142.0
1297,1668.0,1680.0,784.0,1076.0
388,1515.0,1484.0,951.0,0.0
1118,1248.0,1511.0,1192.0,1425.0
642,1165.0,1376.0,1618.0,1480.0
1158,1682.0,1687.0,409.0,1464.0
890,784.0,1685.0,1572.0,917.0
1331,1780.0,1495.0,926.0,516.0
1423,988.0,1717.0,1134.0,1459.0
1259,1613.0,1352.0,1585.0,1417.0
1013,1494.0,1226.0,1494.0,798.0
417,1585.0,1490.0,688.0,1479.0
1432,1499.0,1506.0,886.0,883.0
1009,1705.0,1388.0,1400.0,1451.0
574,1625.0,1674.0,1491.0,1497.0
1038,1714.0,1426.0,1008.0,1330.0
1070,1483.0,1672.0,863.0,1488.0
603,1791.0,894.0,1264.0,1503.0
1359,1577.0,1668.0,586.0,1257.0
600,1673.0,1449.0,642.0,1245.0
1375,1787.0,740.0,1335.0,1415.0
1241,1686.0,779.0,1214.0,769.0
1417,787.0,728.0,1634.0,1497.0
1140,1404.0,803.0,1512.0,978.0
567,851.0,823.0,815.0,679.0
620,1631.0,796.0,1276.0,761.0
1383,1389.0,856.0,969.0,1444.0
1479,,,,
1321,,,,
1367,,,,
1093,,,,
1327,,,,
1417,,,,
975,,,,
959,,,,
1063,,,,
899,,,,
556,,,,
1471,,,,
548,,,,
521,,,,
589,,,,
563,,,,
584,,,,
569,,,,
598,,,,
604,,,,
1103,,,,
549,,,,
1362,,,,
1109,,,,
759,,,,
1384,,,,
1450,,,,
1162,,,,
1161,,,,
1403,,,,
1369,,,,
685,,,,
1087,,,,
959,,,,
686,,,,
1029,,,,
1162,,,,
394,,,,
534,,,,
513,,,,
426,,,,
934,,,,
553,,,,
961,,,,
798,,,,
546,,,,
527,,,,
404,,,,
539,,,,
560,,,,
760,,,,
1467,,,,
