crt_index_50_50,crt_index_55_45,crt_index_60_40
295,1054.0,1205.0
259,445.0,1189.0
356,903.0,623.0
875,396.0,752.0
721,401.0,932.0
932,875.0,691.0
273,924.0,987.0
559,476.0,1061.0
362,339.0,763.0
912,450.0,1241.0
553,399.0,1169.0
394,855.0,612.0
458,372.0,683.0
355,1041.0,1371.0
951,864.0,1162.0
268,428.0,957.0
860,1255.0,957.0
1106,1282.0,1124.0
321,431.0,1227.0
263,453.0,648.0
747,937.0,1065.0
773,1008.0,1408.0
872,966.0,1475.0
276,458.0,1239.0
319,510.0,593.0
325,377.0,1021.0
864,1090.0,1406.0
728,1262.0,1214.0
600,1169.0,640.0
345,527.0,1362.0
985,936.0,781.0
71,1271.0,1059.0
809,878.0,1263.0
331,743.0,584.0
843,966.0,608.0
580,405.0,1077.0
1018,1375.0,1452.0
1113,1166.0,832.0
955,465.0,784.0
702,377.0,810.0
94,1237.0,808.0
1112,1134.0,1029.0
696,411.0,1350.0
255,985.0,1352.0
728,1228.0,1373.0
759,1286.0,1293.0
284,1245.0,1212.0
1048,1084.0,797.0
296,1278.0,911.0
1061,1156.0,719.0
931,868.0,739.0
1104,1133.0,775.0
831,1273.0,720.0
251,1034.0,847.0
313,392.0,1000.0
1062,1343.0,935.0
1160,1244.0,648.0
1009,1262.0,811.0
1049,1065.0,1281.0
772,1096.0,1050.0
1011,825.0,1471.0
1109,1082.0,1323.0
655,956.0,1443.0
655,733.0,772.0
747,1247.0,780.0
589,1257.0,991.0
234,1250.0,1321.0
1148,361.0,1445.0
232,1345.0,1356.0
208,1062.0,660.0
269,1297.0,1347.0
245,557.0,546.0
273,1187.0,744.0
249,922.0,741.0
285,799.0,1308.0
279,1066.0,1262.0
778,1162.0,1353.0
236,1072.0,1196.0
1050,1090.0,868.0
798,1086.0,728.0
444,1275.0,1346.0
1080,965.0,1367.0
1133,1251.0,1123.0
849,1203.0,450.0
854,1050.0,1118.0
1085,1001.0,1100.0
1054,1253.0,496.0
371,1053.0,1272.0
765,1355.0,630.0
645,472.0,1072.0
368,1243.0,1495.0
715,1155.0,1352.0
846,1237.0,839.0
83,1017.0,1367.0
216,312.0,669.0
202,1372.0,546.0
98,1243.0,620.0
606,354.0,1138.0
235,294.0,829.0
637,366.0,1302.0
498,975.0,
235,377.0,
210,408.0,
453,431.0,
94,1204.0,
218,358.0,
245,432.0,
433,965.0,
1152,,
