Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
0; True; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]; True; [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]; [0.0, 0.0, 0.0]
1660219510143858000; True; [24.387313842773438, -62.2127685546875, 0.3048974275588989, -95.85592651367188, -0.1354972869157791, -0.1597900092601776]; [0.0, 0.0, 0.0]; True; [-24.38959503173828, -62.2130126953125, 0.3009929955005646, -84.1436767578125, -0.15923218429088593, -0.175933837890625]; [0.0, 0.0, 0.0]
1660219510154861600; True; [24.387313842773438, -62.2127685546875, 0.3048974275588989, -95.85592651367188, -0.1354972869157791, -0.1597900092601776]; [0.0, 0.0, 0.0]; True; [-24.38959503173828, -62.2130126953125, 0.3009929955005646, -84.1436767578125, -0.15923218429088593, -0.175933837890625]; [0.0, 0.0, 0.0]
1660219510165362400; True; [24.364347457885742, -62.44071960449219, 0.30436432361602783, -95.8448486328125, -0.1314128339290619, -0.15530399978160858]; [13.708711624145508, 0.04381692036986351, 0.0028210000600665808]; True; [-24.366037368774414, -62.44090270996094, 0.3005054295063019, -84.13926696777344, -0.15423932671546936, -0.1732177436351776]; [13.708877563476562, 0.01710188016295433, 0.006393616087734699]
1660219510175858300; True; [24.34162139892578, -62.67132568359375, 0.3038680851459503, -95.80115509033203, -0.12591452896595, -0.1396484225988388]; [13.827348709106445, 0.09753601998090744, 0.005855494644492865]; True; [-24.34221839904785, -62.671478271484375, 0.2999632954597473, -84.1283950805664, -0.1484678089618683, -0.1687927395105362]; [13.834614753723145, 0.018006106838583946, 0.009996839798986912]
1660219510186361800; True; [24.34162139892578, -62.67132568359375, 0.3038680851459503, -95.80115509033203, -0.12591452896595, -0.1396484225988388]; [13.827348709106445, 0.09753601998090744, 0.005855494644492865]; True; [-24.34221839904785, -62.671478271484375, 0.2999632954597473, -84.1283950805664, -0.1484678089618683, -0.1687927395105362]; [13.834614753723145, 0.018006106838583946, 0.009996839798986912]
1660219510196861500; True; [24.31916618347168, -62.90256118774414, 0.30339163541793823, -95.70927429199219, -0.12063479423522949, -0.10983274132013321]; [13.857172966003418, 0.13668547570705414, 0.005715096369385719]; True; [-24.318342208862305, -62.90279006958008, 0.29944363236427307, -84.11152648925781, -0.14309245347976685, -0.1629333198070526]; [13.874712944030762, 0.016440032050013542, 0.00994669459760189]
1660219510206862800; True; [24.31916618347168, -62.90256118774414, 0.30339163541793823, -95.70927429199219, -0.12063479423522949, -0.10983274132013321]; [13.857172966003418, 0.13668547570705414, 0.005715096369385719]; True; [-24.294355392456055, -63.135047912597656, 0.29895350337028503, -84.08953094482422, -0.13846158981323242, -0.156219482421875]; [13.883011817932129, 0.015079783275723457, 0.010265293531119823]
1660219510216863000; True; [24.29695701599121, -63.1346321105957, 0.3029397428035736, -95.55806732177734, -0.11568973958492279, -0.065093994140625]; [13.853981018066406, 0.16610369086265564, 0.005943104159086943]; True; [-24.294355392456055, -63.135047912597656, 0.29895350337028503, -84.08953094482422, -0.13846158981323242, -0.156219482421875]; [13.883011817932129, 0.015079783275723457, 0.010265293531119823]
1660219510227362100; True; [24.275253295898438, -63.36542510986328, 0.3025117814540863, -95.34201049804688, -0.11090177297592163, -0.006896966602653265]; [13.842818260192871, 0.1857580989599228, 0.006135513074696064]; True; [-24.270450592041016, -63.36614227294922, 0.2984928786754608, -84.06333923339844, -0.13464350998401642, -0.14923095703125]; [13.884575843811035, 0.013333247043192387, 0.010501591488718987]
1660219510238362100; True; [24.275253295898438, -63.36542510986328, 0.3025117814540863, -95.34201049804688, -0.11090177297592163, -0.006896966602653265]; [13.842818260192871, 0.1857580989599228, 0.006135513074696064]; True; [-24.270450592041016, -63.36614227294922, 0.2984928786754608, -84.06333923339844, -0.13464350998401642, -0.14923095703125]; [13.884575843811035, 0.013333247043192387, 0.010501591488718987]
1660219510248358500; True; [24.25411033630371, -63.59593963623047, 0.3021025061607361, -95.05615234375, -0.10601136088371277, 0.0633126050233841]; [13.829255104064941, 0.19920334219932556, 0.0063407993875443935]; True; [-24.246503829956055, -63.597084045410156, 0.2980557680130005, -84.03378295898438, -0.1314401477575302, -0.1422729343175888]; [13.884867668151855, 0.011827065609395504, 0.010729935020208359]
1660219510259358900; True; [24.233654022216797, -63.82694625854492, 0.3017091453075409, -94.69676971435547, -0.10083407908678055, 0.14373978972434998]; [13.814690589904785, 0.2074691206216812, 0.006567958742380142]; True; [-24.22240447998047, -63.8286247253418, 0.2976382374763489, -84.0013427734375, -0.12884467840194702, -0.1355285495519638]; [13.884917259216309, 0.010865169577300549, 0.01101914793252945]
1660219510270363200; True; [24.233654022216797, -63.82694625854492, 0.3017091453075409, -94.69676971435547, -0.10083407908678055, 0.14373978972434998]; [13.814690589904785, 0.2074691206216812, 0.006567958742380142]; True; [-24.22240447998047, -63.8286247253418, 0.2976382374763489, -84.0013427734375, -0.12884467840194702, -0.1355285495519638]; [13.884917259216309, 0.010865169577300549, 0.01101914793252945]
