Carla Interface.time; Carla Interface.agents.Ego Vehicle_1.cruise_control_active; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.velocities_in_vehicle_frame; Carla Interface.agents.Ego Vehicle_2.cruise_control_active; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_2.velocities_in_vehicle_frame
1657708874913508000; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874913508000; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874924419400; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874935331900; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874946243900; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874957156100; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874968068100; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874978980300; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708874989892400; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708875000804800; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708875011715900; True; [29.298837661743164, -10.299789428710938, 0.3052296042442322, -96.99940490722656, -0.15014120936393738, -0.1666259914636612]; [0.0, 0.0, 0.0]; True; [-29.30117416381836, -10.300004959106445, 0.3052296042442322, -86.99935150146484, -0.15014120936393738, -0.1666259914636612]; [9.550734830554575e-05, 0.00016792623500805348, -0.0015439321286976337]
1657708875022628700; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875033572300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875044453200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875055366900; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875066276900; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875077189600; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875088102200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875099013700; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875109925700; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875120837800; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875131750300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875142662300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875153574200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875153574200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875164486200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875175398500; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875186310300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875197222300; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875208134800; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875219046800; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875229958800; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875240871000; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875251286900; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875262199000; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875273111200; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875284023400; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875294935500; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875305848100; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875316760000; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
1657708875327672000; True; [29.20631980895996, -11.054268836975098, 0.30317726731300354, -97.01013946533203, -0.0571276992559433, -0.1643982082605362]; [7.002779960632324, 0.0010443556820973754, 0.004515374545007944]; True; [-29.258302688598633, -11.117466926574707, 0.3042096495628357, -87.0016098022461, -0.12890614569187164, -0.16369624435901642]; [8.1797456741333, 0.00023933622287586331, 0.016643941402435303]
