crt_index_50_50,crt_index_55_45,crt_index_60_40
232,981.0,1120.0
204,372.0,1112.0
289,833.0,542.0
812,325.0,678.0
657,330.0,851.0
868,806.0,612.0
207,852.0,908.0
497,410.0,986.0
297,271.0,680.0
847,377.0,1158.0
488,326.0,1088.0
327,783.0,530.0
391,300.0,609.0
292,971.0,1295.0
886,798.0,1081.0
203,356.0,876.0
796,1185.0,880.0
1041,1209.0,1043.0
258,362.0,1146.0
198,387.0,569.0
686,862.0,989.0
709,935.0,1327.0
809,896.0,1394.0
210,384.0,1158.0
256,437.0,516.0
258,303.0,942.0
798,1019.0,1323.0
661,1190.0,1135.0
536,1100.0,559.0
281,452.0,1284.0
924,864.0,698.0
7,1199.0,982.0
743,804.0,1185.0
264,673.0,504.0
779,901.0,526.0
519,330.0,999.0
953,1302.0,1370.0
1053,1093.0,748.0
890,393.0,704.0
637,305.0,736.0
32,1167.0,727.0
1047,1062.0,954.0
635,339.0,1270.0
190,912.0,1275.0
666,1158.0,1291.0
692,1215.0,1216.0
221,1173.0,1131.0
980,1012.0,717.0
230,1207.0,828.0
995,1085.0,636.0
862,796.0,659.0
1042,1060.0,693.0
773,1202.0,639.0
187,967.0,766.0
250,322.0,920.0
998,1271.0,855.0
1094,1170.0,565.0
943,1193.0,734.0
985,994.0,1200.0
709,1025.0,964.0
944,750.0,1390.0
1044,1016.0,1246.0
589,884.0,1362.0
591,658.0,690.0
680,1174.0,699.0
525,1191.0,914.0
167,1174.0,1235.0
1087,288.0,1364.0
167,1277.0,1278.0
140,997.0,580.0
205,1225.0,1271.0
183,483.0,462.0
208,1118.0,663.0
182,850.0,660.0
219,728.0,1228.0
214,995.0,1182.0
714,1090.0,1277.0
171,1001.0,1113.0
986,1016.0,787.0
730,1012.0,648.0
380,1206.0,1269.0
1018,896.0,1287.0
1069,1178.0,1039.0
783,1128.0,370.0
793,978.0,1035.0
1023,931.0,1021.0
997,1179.0,411.0
304,982.0,1191.0
702,1283.0,546.0
578,408.0,988.0
306,1169.0,1413.0
647,1086.0,1275.0
781,1164.0,759.0
19,946.0,1284.0
150,242.0,589.0
139,1300.0,465.0
33,1167.0,543.0
542,276.0,1054.0
174,224.0,744.0
573,297.0,1223.0
437,909.0,
172,312.0,
144,337.0,
29,359.0,
153,1131.0,
186,283.0,
369,355.0,
1085,,
