crt_index_50_50,crt_index_55_45,crt_index_60_40
329,1075.0,1216.0
289,470.0,1219.0
389,933.0,650.0
909,426.0,782.0
754,429.0,950.0
965,903.0,706.0
305,954.0,1009.0
592,505.0,1087.0
395,369.0,797.0
246,478.0,1249.0
582,433.0,1268.0
427,888.0,627.0
487,408.0,719.0
388,1073.0,1389.0
984,888.0,887.0
301,456.0,997.0
893,1290.0,1353.0
1139,1316.0,1161.0
351,467.0,1301.0
296,465.0,863.0
784,968.0,1245.0
805,1035.0,1446.0
904,971.0,774.0
309,491.0,1159.0
352,541.0,606.0
354,403.0,1095.0
895,629.0,1426.0
761,1298.0,1327.0
633,1189.0,653.0
378,550.0,1403.0
1017,955.0,817.0
104,1302.0,1033.0
839,899.0,1297.0
360,775.0,595.0
872,997.0,645.0
612,436.0,1109.0
1051,1413.0,1134.0
1148,1199.0,646.0
983,500.0,797.0
733,410.0,850.0
128,1264.0,847.0
1145,1165.0,1057.0
730,438.0,1387.0
287,1010.0,1388.0
757,1394.0,1429.0
791,1322.0,1330.0
316,1281.0,1253.0
1080,1112.0,838.0
328,1312.0,951.0
1090,1188.0,756.0
960,891.0,779.0
1138,1171.0,813.0
858,1310.0,755.0
284,1062.0,885.0
343,426.0,1041.0
1096,1379.0,976.0
1192,1279.0,685.0
1041,1295.0,850.0
1082,1102.0,1313.0
807,1132.0,1315.0
1036,863.0,1514.0
1141,1115.0,1363.0
686,1022.0,1480.0
683,767.0,814.0
783,1283.0,856.0
621,1295.0,1100.0
269,1284.0,1357.0
1178,376.0,1487.0
265,1381.0,1347.0
235,1098.0,777.0
296,1330.0,1374.0
279,541.0,565.0
304,1208.0,807.0
283,959.0,781.0
317,835.0,1342.0
311,1083.0,1293.0
810,1188.0,1392.0
269,1098.0,1406.0
1083,1121.0,939.0
825,1074.0,791.0
474,1312.0,1386.0
1113,991.0,1408.0
1165,1286.0,1164.0
881,1235.0,465.0
887,1069.0,1159.0
1118,1037.0,1142.0
1084,1290.0,510.0
403,475.0,1294.0
800,1393.0,664.0
679,509.0,626.0
401,1280.0,1553.0
750,1186.0,1388.0
875,1267.0,644.0
115,1042.0,1410.0
251,337.0,704.0
232,1402.0,572.0
129,1279.0,651.0
640,383.0,1279.0
263,328.0,849.0
672,402.0,1294.0
533,996.0,
267,402.0,
242,443.0,
128,434.0,
247,1239.0,
280,386.0,
466,464.0,
1185,,
